Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Oda Nobuna no Yabou,2012,7.37,Finished,12,"['Action', 'Comedy', 'Romance']",Source
Tada-kun wa Koi wo Shinai,2018,7.57,Finished,13,"['Comedy', 'Romance']",Original
Masou Gakuen HxH,2016,6.12,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",Light novel
Sora no Otoshimono Forte,2010,7.44,Finished,12,"['Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi']",Manga
Kämpfer,2009,6.37,Finished,12,"['Action', 'Comedy', 'Romance', 'Ecchi']",Light novel
High School DxD OVA,2012,7.27,Finished,2,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
InuYasha: Kanketsu-hen,2009,8.2,Finished,26,"['Action', 'Adventure', 'Fantasy', 'Romance']",Manga
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",2020,6.67,Finished,12,"['Action', 'Fantasy', 'Romance']",Light novel
Itazura na Kiss,2008,7.41,Finished,25,"['Comedy', 'Romance']",Manga
Mamahaha no Tsurego ga Motokano datta,2022,6.75,Finished,12,"['Comedy', 'Romance']",Light novel
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",2015,6.68,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
Shuffle!,2005,7.02,Finished,24,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Ecchi']",Visual novel
Ookami-san to Shichinin no Nakama-tachi,2010,7.16,Finished,12,"['Comedy', 'Romance']",Light novel
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,2017,6.22,Finished,10,"['Comedy', 'Romance', 'Ecchi']",Source
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1999,8.7,Finished,4,"['Action', 'Drama', 'Romance']",Manga
Midara na Ao-chan wa Benkyou ga Dekinai,2019,6.71,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Manga
