Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Vatican Kiseki Chousakan,2017,6.4,Finished,12,"['Drama', 'Mystery', 'Supernatural']",Novel
Sankaku Mado no Sotogawa wa Yoru,2021,6.74,Finished,12,"['Boys Love', 'Drama', 'Horror', 'Mystery', 'Supernatural']",Manga
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru 2nd Season",0,0,Not yet aired,?,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance']",Light novel
Ajin Part 1: Shoudou,2015,7.43,Finished,1,"['Action', 'Horror', 'Mystery', 'Supernatural']",Manga
Persona 4 the Animation: No One is Alone,2012,7.48,Finished,1,"['Adventure', 'Mystery', 'Sci-Fi', 'Supernatural']",Game
Tokkou,2006,6.53,Finished,13,"['Action', 'Horror', 'Mystery', 'Supernatural']",Source
Ajin OVA,2016,7.17,Finished,2,"['Action', 'Horror', 'Mystery', 'Supernatural']",Manga
Red Garden,2006,7.03,Finished,22,"['Drama', 'Mystery', 'Supernatural']",Original
Tantei Opera Milky Holmes,2010,6.92,Finished,12,"['Comedy', 'Mystery']",Original
Night Head 2041,2021,6.51,Finished,12,"['Drama', 'Mystery', 'Sci-Fi', 'Supernatural']",Other
Psycho-Pass Movie: Providence,2023,7.64,Finished,1,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Original
Nazo no Kanojo X: Nazo no Natsu Matsuri,2012,7.28,Finished,1,"['Mystery', 'Romance', 'Ecchi']",Manga
Meitantei Conan Movie 11: Konpeki no Jolly Roger,2007,7.43,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Hana to Alice: Satsujin Jiken,2015,7.25,Finished,1,"['Award Winning', 'Drama', 'Mystery']",Source
Lupin III: Part 5,2018,8.13,Finished,24,"['Action', 'Adventure', 'Comedy', 'Mystery']",Manga
Meitantei Conan Movie 16: 11-ninme no Striker,2012,7.7,Finished,1,"['Adventure', 'Comedy', 'Mystery', 'Sports']",Manga
Meitantei Conan Movie 18: Ijigen no Sniper,2014,8.06,Finished,1,"['Action', 'Mystery']",Manga
